;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;28,97;
;A02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,44;
;A03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,58;
;A04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,20;
;A05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,30;
;A06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,73;
;A07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,09;
;A08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;20,56;
;A09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,79;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,56;
;A11;FAM;Hprt1;Unkn;NT;;
;A12;FAM;Sp7;Unkn;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;28,94;
;B02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,50;
;B03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,42;
;B04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,21;
